,pair,last_price,prediction,sma_sig,pred_return,pred_signal,sigsum
0,USDTZUSD,1.0,0.9999999999998772,0,-1.2279066652354231e-13,0,0
1,XETCZUSD,0.14484356894553882,0.14484050569112317,0,-2.1148708485666965e-05,0,0
2,XETHZUSD,0.0016395055251336196,0.0016395087522094209,1,1.9683226142104593e-06,1,2
3,XLTCZUSD,0.011208249271463798,0.01120856005934393,1,2.7728494665426733e-05,1,2
4,XMLNZUSD,0.03363379523745459,0.03363379523745459,0,0.0,0,0
5,XREPZUSD,0.06170934896636841,0.06170934896636841,0,0.0,0,0
6,XTZUSD,0.403469840629413,0.403469840629413,0,0.0,0,0
7,XXBTZUSD,5.089058524173028e-05,5.0890120949477805e-05,1,-9.12334276106721e-06,0,1
8,XXLMZUSD,5.032054185159465,5.032054185159465,0,0.0,0,0
9,XXMRZUSD,0.007766387076731905,0.007763931796757589,0,-0.0003161418494929881,0,0
10,XXRPZUSD,1.5118757842855632,1.511777799411001,1,-6.481013558163648e-05,0,1
11,XZECZUSD,0.012388503468780971,0.012388503468780971,0,0.0,0,0
12,ZEURZUSD,0.832639467110741,0.8326671319285587,1,3.322544619904e-05,1,2
13,ZGBPZUSD,0.750666216266937,0.7510879755815911,1,0.000561846671016536,1,2
14,ZUSDZCAD,1.30134,1.3013399926708855,1,-5.631975061451015e-09,0,1
15,ZUSDZJPY,104.703,104.703,1,0.0,0,1
